,movie id,movie title,release date,unknown,Action,Adventure,Animation,Children,Comedy,Crime,Documentary,Drama,Fantasy,Film-Noir,Horror,Musical,Mystery,Romance,Sci-Fi,Thriller,War,Western
3,4,Get Shorty (1995),01-Jan-1995,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
6,7,Twelve Monkeys (1995),01-Jan-1995,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
7,8,Babe (1995),01-Jan-1995,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
8,9,Dead Man Walking (1995),01-Jan-1995,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
14,15,Mr. Holland's Opus (1995),29-Jan-1996,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
21,22,Braveheart (1995),16-Feb-1996,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
27,28,Apollo 13 (1995),01-Jan-1995,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
30,31,Crimson Tide (1995),01-Jan-1995,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0
50,51,Legends of the Fall (1994),01-Jan-1994,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1
54,55,"Professional, The (1994)",01-Jan-1994,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0
55,56,Pulp Fiction (1994),01-Jan-1994,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
57,58,Quiz Show (1994),01-Jan-1994,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
63,64,"Shawshank Redemption, The (1994)",01-Jan-1994,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
75,76,Carlito's Way (1993),01-Jan-1993,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
86,87,Searching for Bobby Fischer (1993),01-Jan-1993,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
97,98,"Silence of the Lambs, The (1991)",01-Jan-1991,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
99,100,Fargo (1996),14-Feb-1997,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0
126,127,"Godfather, The (1972)",01-Jan-1972,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
133,134,Citizen Kane (1941),01-Jan-1941,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
134,135,2001: A Space Odyssey (1968),01-Jan-1968,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0
159,160,Glengarry Glen Ross (1992),01-Jan-1992,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
171,172,"Empire Strikes Back, The (1980)",01-Jan-1980,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0
177,178,12 Angry Men (1957),01-Jan-1957,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
179,180,Apocalypse Now (1979),01-Jan-1979,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
181,182,GoodFellas (1990),01-Jan-1990,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
190,191,Amadeus (1984),01-Jan-1984,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
196,197,"Graduate, The (1967)",01-Jan-1967,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
198,199,"Bridge on the River Kwai, The (1957)",01-Jan-1957,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
208,209,This Is Spinal Tap (1984),01-Jan-1984,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0
236,237,Jerry Maguire (1996),13-Dec-1996,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
281,282,"Time to Kill, A (1996)",13-Jul-1996,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
317,318,Schindler's List (1993),01-Jan-1993,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
356,357,One Flew Over the Cuckoo's Nest (1975),01-Jan-1975,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
422,423,E.T. the Extra-Terrestrial (1982),01-Jan-1982,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0
426,427,To Kill a Mockingbird (1962),01-Jan-1962,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
466,467,"Bronx Tale, A (1993)",01-Jan-1993,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
495,496,It's a Wonderful Life (1946),01-Jan-1946,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
503,504,Bonnie and Clyde (1967),01-Jan-1967,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
509,510,"Magnificent Seven, The (1954)",01-Jan-1954,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
530,531,Shine (1996),22-Nov-1996,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
590,591,Primal Fear (1996),30-Mar-1996,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
605,606,All About Eve (1950),01-Jan-1950,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
641,642,"Grifters, The (1990)",01-Jan-1990,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0
654,655,Stand by Me (1986),01-Jan-1986,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
691,692,"American President, The (1995)",01-Jan-1995,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
692,693,Casino (1995),01-Jan-1995,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
938,939,Murder in the First (1995),01-Jan-1995,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
941,942,What's Love Got to Do with It (1993),01-Jan-1993,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
